ds,y
2020-07-25,3060
2020-08-01,3534
2020-08-08,3346
2020-08-15,4379
2020-08-22,4824
2020-08-29,4062
2020-09-05,4326
2020-09-12,3532
2020-09-19,4158
2020-09-26,3392
2020-10-03,3309
2020-10-10,3892
2020-10-17,9448
2020-10-24,3674
2020-10-31,3953
2020-11-07,3953
2020-11-14,3473
2020-11-21,5293
2020-11-28,4786
2020-12-05,6862
2020-12-12,4466
2020-12-19,4276
2020-12-26,3147
2021-01-02,3561
2021-01-09,3612
2021-01-16,3930
2021-01-23,3487
2021-01-30,3666
2021-02-06,3114
2021-02-13,3316
2021-02-20,3240
2021-02-27,3115
2021-03-06,3357
2021-03-13,3558
2021-03-20,3643
2021-03-27,3846
2021-04-03,3391
2021-04-10,4794
2021-04-17,3723
2021-04-24,3935
